engine,run,performance_score1,performance_score1_name,behaviour_score1,behaviour_score1_name,behaviour_score2,behaviour_score2_name,behaviour_score3,behaviour_score3_name,behaviour_score4,behaviour_score4_name
hf_koala-7B-HF,0,0.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_vicuna-7b-v1.3,0,8.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
llama-2-7-chat,0,5.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
llama-2-7,0,7.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_vicuna-7b-v1.5,0,0.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
claude-2,0,2.0,temporal discounting score,0.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
claude-1,0,7.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,0.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
text-davinci-003,0,6.0,temporal discounting score,0.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
random,1,5.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
random,2,12.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
random,3,8.0,temporal discounting score,0.0,present bias,1.0,subaddictivity,0.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
random,4,10.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
random,5,3.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,0.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
gpt-4,0,10.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
text-davinci-002,0,6.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,0.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
text-bison@001,0,15.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
human,0,10.3,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
llama-2-70_cot,0,,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
llama-2-70_sb,0,,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
llama-2-70-chat_cot,0,8.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
llama-2-70-chat_sb,0,,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
hf_Llama-2-70b-longlora-32k_cot,0,8.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_Llama-2-70b-longlora-32k_sb,0,6.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_Llama-2-70b-chat-longlora-32k_cot,0,8.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_Llama-2-70b-chat-longlora-32k_sb,0,,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
hf_LongAlpaca-70B_cot,0,,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
hf_LongAlpaca-70B_sb,0,,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
gpt-4_cot,0,,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
gpt-4_sb,0,14.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
claude-1_cot,0,3.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
claude-1_sb,0,15.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
claude-2_cot,0,2.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
claude-2_sb,0,13.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
gemini-pro,0,3.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
text-bison@002_cot,0,,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
text-bison@002_sb,0,,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
text-bison@002,0,15.0,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
claude-1,1,,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
claude-3-opus-20240229,0,15.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_Mistral-7B-v0.1,0,15.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_Mixtral-8x7B-v0.1,0,15.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_Yi-6B,0,0.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_Yi-34B,0,15.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-l
